Section,Word Count,Detail Rating,Clarity Rating,Relevance Rating,Overall Quality,Model Name,Generation Time
Remaining Test Tasks,286,6,5,5,,gpt-3.5-turbo-0125,10.9598105
Test Data Needs,229,4,4,4,,gpt-3.5-turbo-0125,17.04186845
Environmental Needs,416,5,5,5,,gpt-3.5-turbo-0125,14.3803153
Staffing and Training Needs,344,4,4,5,,gpt-3.5-turbo-0125,14.11195731
Responsibilities,1646,4,4,4,,gpt-3.5-turbo-0125,34.84112501
Schedule,859,6,5,5,,gpt-3.5-turbo-0125,23.50842452
Planning Risks and Contingencies,230,7,6,6,,gpt-3.5-turbo-0125,17.84584355
Test Estimation,1214,7,7,7,,gpt-3.5-turbo-0125,31.47300363
Glossary,271,9,9,9,,gpt-3.5-turbo-0125,12.82585478
Overall Feedback,,4,4,3,5,gpt-3.5-turbo-0125,
Test Plan Identifier,19,9,8,9,,gpt-4-turbo-preview,7.665791512
References,15,10,10,10,,gpt-4-turbo-preview,4.836285114
Approvals,2,10,10,10,,gpt-4-turbo-preview,5.33621335
Introduction,411,9,9,9,,gpt-4-turbo-preview,17.28219604
Test Items,475,9,9,9,,gpt-4-turbo-preview,36.76652241
Software Risk IssuesFeatures to be Tested,548,8,8,8,,gpt-4-turbo-preview,40.68665481
Features not to be Tested,484,9,9,8,,gpt-4-turbo-preview,24.98813128
Functional & Non-functional Testing Approach,483,8,8,7,,gpt-4-turbo-preview,37.12064409
Item Pass/Fail Criteria,269,7,7,7,,gpt-4-turbo-preview,25.88475585
Suspension Criteria and Resumption Requirements,432,9,9,8,,gpt-4-turbo-preview,31.02162242
Test Deliverables,712,9,9,9,,gpt-4-turbo-preview,30.83705807
Remaining Test Tasks,366,8,8,8,,gpt-4-turbo-preview,19.14006209
Test Data Needs,456,8,8,8,,gpt-4-turbo-preview,33.12695432
Environmental Needs,531,9,8,7,,gpt-4-turbo-preview,24.35988402
Staffing and Training Needs,374,7,7,7,,gpt-4-turbo-preview,19.24127936
Responsibilities,2290,9,9,9,,gpt-4-turbo-preview,91.55743432
Schedule,1373,9,9,9,,gpt-4-turbo-preview,67.84447598
Planning Risks and Contingencies,486,9,9,9,,gpt-4-turbo-preview,33.59480262
Test Estimation,1380,9,9,9,,gpt-4-turbo-preview,67.87170053
Glossary,398,8,8,8,,gpt-4-turbo-preview,21.05670118
Overall Feedback,,8,8,8,8,gpt-4-turbo-preview,
Test Plan Identifier,23,10,10,10,,gpt-4-turbo-2024-04-09,7.926982641
References,15,10,10,10,,gpt-4-turbo-2024-04-09,6.773418665
Approvals,19,10,10,10,,gpt-4-turbo-2024-04-09,5.779950142
Introduction,378,10,10,10,,gpt-4-turbo-2024-04-09,28.43240738
Test Items,413,8,8,8,,gpt-4-turbo-2024-04-09,37.83795333
Software Risk IssuesFeatures to be Tested,559,8,8,8,,gpt-4-turbo-2024-04-09,44.00624943
Features not to be Tested,527,9,9,9,,gpt-4-turbo-2024-04-09,33.00139832
Functional & Non-functional Testing Approach,558,8,8,9,,gpt-4-turbo-2024-04-09,44.28136873
Item Pass/Fail Criteria,509,8,8,8,,gpt-4-turbo-2024-04-09,45.45331645
Suspension Criteria and Resumption Requirements,440,8,7,7,,gpt-4-turbo-2024-04-09,67.67387199
Test Deliverables,564,8,8,8,,gpt-4-turbo-2024-04-09,29.79106188
Remaining Test Tasks,395,8,8,8,,gpt-4-turbo-2024-04-09,25.77007174
Test Data Needs,495,7,7,7,,gpt-4-turbo-2024-04-09,37.95397305
Environmental Needs,510,7,7,7,,gpt-4-turbo-2024-04-09,32.91125035
Staffing and Training Needs,384,8,8,8,,gpt-4-turbo-2024-04-09,27.56330609
Responsibilities,2329,10,9,9,,gpt-4-turbo-2024-04-09,106.6263921
Schedule,1335,9,9,9,,gpt-4-turbo-2024-04-09,74.54629755
Planning Risks and Contingencies,480,8,8,7,,gpt-4-turbo-2024-04-09,41.11733007
Test Estimation,1404,8,8,8,,gpt-4-turbo-2024-04-09,82.45678711
Glossary,377,9,9,9,,gpt-4-turbo-2024-04-09,27.1544857
Overall Feedback,,8,8,8,8,gpt-4-turbo-2024-04-09,
Test Plan Identifier,22,10,10,10,,gpt-4-turbo,8.717575788
References,15,10,10,10,,gpt-4-turbo,4.671705484
Approvals,19,10,10,10,,gpt-4-turbo,6.777017355
Introduction,354,9,9,9,,gpt-4-turbo,19.97321653
Test Items,420,8,8,8,,gpt-4-turbo,36.59019732
Software Risk IssuesFeatures to be Tested,517,8,8,8,,gpt-4-turbo,42.23908281
Features not to be Tested,478,8,8,8,,gpt-4-turbo,23.35186648
Functional & Non-functional Testing Approach,474,8,7,8,,gpt-4-turbo,49.6188302
Item Pass/Fail Criteria,608,8,8,8,,gpt-4-turbo,44.18846393
Suspension Criteria and Resumption Requirements,435,8,8,8,,gpt-4-turbo,36.10054851
Test Deliverables,564,7,7,7,,gpt-4-turbo,31.51173878
Remaining Test Tasks,400,7,7,7,,gpt-4-turbo,28.33097959
Test Data Needs,434,7,7,7,,gpt-4-turbo,38.40586233
Environmental Needs,612,7,7,7,,gpt-4-turbo,30.63585663
Staffing and Training Needs,342,6,6,6,,gpt-4-turbo,24.59283948
Responsibilities,2325,7,7,7,,gpt-4-turbo,99.84398675
Schedule,1393,1,1,1,,gpt-4-turbo,68.62610269
Planning Risks and Contingencies,505,8,8,8,,gpt-4-turbo,45.02876854
Test Estimation,1423,8,8,8,,gpt-4-turbo,68.97079229
Glossary,378,9,9,9,,gpt-4-turbo,28.96634173
Overall Feedback,,8,8,8,8,gpt-4-turbo,
